Filename,Predictions,Right,
1,['dogs'],1,79
2,['dogs'],1,
3,['cats'],0,
4,['dogs'],1,
5,['cats'],1,
6,['cats'],1,
7,['cats'],1,
8,['dogs'],0,
9,['cats'],1,
10,['cats'],1,
11,['cats'],1,
12,['dogs'],1,
13,['cats'],1,
14,['dogs'],0,
15,['cats'],1,
16,['cats'],1,
17,['dogs'],1,
18,['dogs'],1,
19,['cats'],1,
20,['cats'],1,
21,['dogs'],1,
22,['cats'],1,
23,['dogs'],1,
24,['dogs'],1,
25,['dogs'],0,
26,['dogs'],1,
27,['dogs'],1,
28,['cats'],1,
29,['dogs'],0,
30,['dogs'],1,
31,['dogs'],1,
32,['cats'],1,
33,['dogs'],1,
34,['cats'],1,
35,['cats'],1,
36,['dogs'],0,
37,['cats'],1,
38,['cats'],1,
39,['dogs'],1,
40,['cats'],1,
41,['cats'],0,
42,['dogs'],1,
43,['dogs'],1,
44,['dogs'],1,
45,['cats'],1,
46,['dogs'],1,
47,['cats'],1,
48,['dogs'],1,
49,['dogs'],1,
50,['cats'],1,
51,['dogs'],0,
52,['cats'],1,
53,['cats'],1,
54,['cats'],1,
55,['cats'],1,
56,['dogs'],1,
57,['dogs'],1,
58,['cats'],1,
59,['dogs'],1,
60,['dogs'],0,
61,['cats'],1,
62,['cats'],0,
63,['dogs'],0,
64,['dogs'],0,
65,['dogs'],1,
66,['dogs'],1,
67,['dogs'],1,
68,['cats'],1,
69,['dogs'],1,
70,['dogs'],1,
71,['cats'],0,
72,['dogs'],1,
73,['dogs'],1,
74,['dogs'],1,
75,['cats'],1,
76,['cats'],0,
77,['dogs'],1,
78,['dogs'],1,
79,['cats'],0,
80,['cats'],1,
81,['cats'],1,
82,['dogs'],0,
83,['dogs'],1,
84,['cats'],1,
85,['dogs'],1,
86,['cats'],0,
87,['dogs'],1,
88,['dogs'],1,
89,['cats'],1,
90,['dogs'],0,
91,['dogs'],0,
92,['dogs'],0,
93,['cats'],1,
94,['dogs'],1,
95,['dogs'],1,
96,['cats'],1,
97,['cats'],0,
98,['dogs'],1,
99,['cats'],1,
100,['cats'],1,
101,['cats'],,
102,['dogs'],,
103,['cats'],,
104,['cats'],,
105,['cats'],,
106,['dogs'],,
107,['dogs'],,
108,['cats'],,
109,['dogs'],,
110,['dogs'],,
111,['cats'],,
112,['cats'],,
113,['dogs'],,
114,['cats'],,
115,['cats'],,
116,['dogs'],,
117,['cats'],,
118,['dogs'],,
119,['cats'],,
120,['cats'],,
121,['cats'],,
122,['cats'],,
123,['cats'],,
124,['cats'],,
125,['cats'],,
126,['dogs'],,
127,['dogs'],,
128,['cats'],,
129,['cats'],,
130,['cats'],,
131,['dogs'],,
132,['cats'],,
133,['cats'],,
134,['cats'],,
135,['cats'],,
136,['dogs'],,
137,['dogs'],,
138,['dogs'],,
139,['dogs'],,
140,['cats'],,
141,['cats'],,
142,['dogs'],,
143,['dogs'],,
144,['dogs'],,
145,['cats'],,
146,['dogs'],,
147,['dogs'],,
148,['cats'],,
149,['dogs'],,
150,['cats'],,
151,['cats'],,
152,['dogs'],,
153,['cats'],,
154,['cats'],,
155,['cats'],,
156,['cats'],,
157,['cats'],,
158,['dogs'],,
159,['dogs'],,
160,['cats'],,
161,['dogs'],,
162,['cats'],,
163,['cats'],,
164,['dogs'],,
165,['dogs'],,
166,['cats'],,
167,['cats'],,
168,['cats'],,
169,['cats'],,
170,['cats'],,
171,['cats'],,
172,['dogs'],,
173,['dogs'],,
174,['cats'],,
175,['dogs'],,
176,['dogs'],,
177,['dogs'],,
178,['dogs'],,
179,['cats'],,
180,['cats'],,
181,['dogs'],,
182,['dogs'],,
183,['dogs'],,
184,['cats'],,
185,['cats'],,
186,['cats'],,
187,['cats'],,
188,['cats'],,
189,['cats'],,
190,['dogs'],,
191,['cats'],,
192,['cats'],,
193,['cats'],,
194,['cats'],,
195,['dogs'],,
196,['dogs'],,
197,['cats'],,
198,['dogs'],,
199,['dogs'],,
200,['dogs'],,
201,['dogs'],,
202,['cats'],,
203,['dogs'],,
204,['dogs'],,
205,['cats'],,
206,['cats'],,
207,['cats'],,
208,['cats'],,
209,['cats'],,
210,['cats'],,
211,['dogs'],,
212,['dogs'],,
213,['cats'],,
214,['cats'],,
215,['dogs'],,
216,['cats'],,
217,['dogs'],,
218,['cats'],,
219,['cats'],,
220,['dogs'],,
221,['cats'],,
222,['dogs'],,
223,['dogs'],,
224,['cats'],,
225,['dogs'],,
226,['dogs'],,
227,['dogs'],,
228,['cats'],,
229,['dogs'],,
230,['cats'],,
231,['dogs'],,
232,['cats'],,
233,['cats'],,
234,['cats'],,
235,['dogs'],,
236,['dogs'],,
237,['cats'],,
238,['cats'],,
239,['dogs'],,
240,['dogs'],,
241,['dogs'],,
242,['cats'],,
243,['dogs'],,
244,['dogs'],,
245,['dogs'],,
246,['dogs'],,
247,['dogs'],,
248,['cats'],,
249,['cats'],,
250,['dogs'],,
251,['dogs'],,
252,['cats'],,
253,['dogs'],,
254,['cats'],,
255,['dogs'],,
256,['cats'],,
257,['dogs'],,
258,['dogs'],,
259,['cats'],,
260,['cats'],,
261,['cats'],,
262,['cats'],,
263,['cats'],,
264,['cats'],,
265,['dogs'],,
266,['cats'],,
267,['cats'],,
268,['cats'],,
269,['dogs'],,
270,['dogs'],,
271,['dogs'],,
272,['cats'],,
273,['dogs'],,
274,['cats'],,
275,['cats'],,
276,['dogs'],,
277,['dogs'],,
278,['cats'],,
279,['cats'],,
280,['dogs'],,
281,['dogs'],,
282,['dogs'],,
283,['cats'],,
284,['dogs'],,
285,['cats'],,
286,['cats'],,
287,['cats'],,
288,['dogs'],,
289,['dogs'],,
290,['cats'],,
291,['cats'],,
292,['dogs'],,
293,['dogs'],,
294,['dogs'],,
295,['cats'],,
296,['dogs'],,
297,['dogs'],,
298,['dogs'],,
299,['dogs'],,
300,['cats'],,
301,['dogs'],,
302,['cats'],,
303,['cats'],,
304,['cats'],,
305,['cats'],,
306,['dogs'],,
307,['dogs'],,
308,['cats'],,
309,['cats'],,
310,['cats'],,
311,['cats'],,
312,['cats'],,
313,['dogs'],,
314,['cats'],,
315,['dogs'],,
316,['dogs'],,
317,['dogs'],,
318,['cats'],,
319,['dogs'],,
320,['cats'],,
321,['cats'],,
322,['dogs'],,
323,['cats'],,
324,['cats'],,
325,['cats'],,
326,['cats'],,
327,['dogs'],,
328,['cats'],,
329,['cats'],,
330,['dogs'],,
331,['cats'],,
332,['dogs'],,
333,['cats'],,
334,['cats'],,
335,['dogs'],,
336,['cats'],,
337,['dogs'],,
338,['cats'],,
339,['dogs'],,
340,['dogs'],,
341,['cats'],,
342,['cats'],,
343,['cats'],,
344,['dogs'],,
345,['dogs'],,
346,['dogs'],,
347,['dogs'],,
348,['dogs'],,
349,['dogs'],,
350,['dogs'],,
351,['cats'],,
352,['dogs'],,
353,['cats'],,
354,['dogs'],,
355,['cats'],,
356,['cats'],,
357,['cats'],,
358,['dogs'],,
359,['cats'],,
360,['cats'],,
361,['dogs'],,
362,['cats'],,
363,['dogs'],,
364,['cats'],,
365,['cats'],,
366,['cats'],,
367,['cats'],,
368,['cats'],,
369,['dogs'],,
370,['dogs'],,
371,['dogs'],,
372,['cats'],,
373,['dogs'],,
374,['dogs'],,
375,['dogs'],,
376,['cats'],,
377,['dogs'],,
378,['cats'],,
379,['dogs'],,
380,['dogs'],,
381,['dogs'],,
382,['cats'],,
383,['dogs'],,
384,['dogs'],,
385,['dogs'],,
386,['cats'],,
387,['cats'],,
388,['dogs'],,
389,['cats'],,
390,['cats'],,
391,['cats'],,
392,['cats'],,
393,['cats'],,
394,['dogs'],,
395,['dogs'],,
396,['cats'],,
397,['cats'],,
398,['cats'],,
399,['dogs'],,
400,['cats'],,
